epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.749,1.00927,9.5589,0.68425,0.87681,1.37438,0.94641,0.93577,0.97763,0.76786,0.30741,0.1816,0.0757,0.0116,0.87051,7.15482,0.47966,0.51569,1.23486,0.00333043,0.00333043,0.00333043
2,262.612,0.90165,7.1889,0.6239,0.65755,1.26634,0.94802,0.93902,0.97986,0.77124,0.81839,0.4956,0.50086,0.23046,0.87486,4.68007,0.37225,0.51472,1.24824,0.0065978,0.0065978,0.0065978
3,379.636,0.93764,6.33727,0.57111,0.69458,1.28087,0.92298,0.91997,0.96746,0.74435,0.7779,0.53715,0.54285,0.24732,0.9328,4.34625,0.28238,0.58225,1.2918,0.00979916,0.00979916,0.00979916
4,498.778,0.96683,5.95479,0.48987,0.71227,1.28841,0.92657,0.93348,0.96981,0.76336,0.79798,0.59248,0.61508,0.37969,0.86373,3.76451,0.15761,0.5393,1.23458,0.009703,0.009703,0.009703
5,616.228,0.91629,5.44369,0.43555,0.66423,1.24854,0.94592,0.925,0.97483,0.78622,0.81283,0.62024,0.63809,0.40776,0.81178,3.55956,0.11737,0.51849,1.1809,0.009604,0.009604,0.009604
6,733.238,0.8863,5.09491,0.40518,0.63204,1.22652,0.94924,0.94049,0.98215,0.79685,0.78983,0.66615,0.6697,0.44298,0.78495,3.23773,0.09835,0.46805,1.15178,0.009505,0.009505,0.009505
7,851.203,0.86419,4.89984,0.38724,0.60356,1.21238,0.94806,0.93279,0.9764,0.79014,0.85044,0.64878,0.68817,0.46971,0.81348,3.27403,0.09828,0.47807,1.17804,0.009406,0.009406,0.009406
8,967.184,0.84117,4.70091,0.37568,0.5814,1.19633,0.95683,0.95578,0.98366,0.82122,0.80248,0.70724,0.71848,0.50293,0.73829,2.95377,0.08019,0.43137,1.11816,0.009307,0.009307,0.009307
9,1088.92,0.83405,4.60608,0.36661,0.57277,1.1931,0.94715,0.95916,0.98558,0.83243,0.81709,0.67574,0.69732,0.49555,0.7062,2.94034,0.08308,0.41516,1.09014,0.009208,0.009208,0.009208
10,1206.68,0.81722,4.46516,0.35792,0.55691,1.18027,0.954,0.96206,0.98424,0.82476,0.80699,0.70027,0.69313,0.48141,0.72333,2.95802,0.08819,0.40811,1.10554,0.009109,0.009109,0.009109
11,1325.52,0.80498,4.35275,0.34894,0.54353,1.17147,0.96139,0.96521,0.98722,0.83763,0.83847,0.74086,0.75959,0.54862,0.69674,2.65764,0.08348,0.39489,1.08075,0.00901,0.00901,0.00901
12,1444.8,0.79409,4.25018,0.34294,0.53197,1.16848,0.95738,0.96765,0.98759,0.84262,0.83491,0.732,0.75014,0.53842,0.68068,2.67538,0.06835,0.38587,1.07354,0.008911,0.008911,0.008911
13,1561.38,0.78194,4.18358,0.34145,0.52768,1.16329,0.96136,0.96279,0.98784,0.83982,0.82733,0.73901,0.73637,0.53748,0.68896,2.6444,0.07128,0.38055,1.07407,0.008812,0.008812,0.008812
14,1678.03,0.78002,4.14372,0.33067,0.51877,1.15698,0.96724,0.95973,0.98759,0.84311,0.84306,0.75532,0.77977,0.57828,0.67504,2.503,0.0756,0.37726,1.0598,0.008713,0.008713,0.008713
15,1795.46,0.76673,4.06201,0.32952,0.51596,1.15102,0.96461,0.96597,0.98773,0.85022,0.8311,0.76377,0.76362,0.57308,0.66169,2.51218,0.06736,0.36996,1.05357,0.008614,0.008614,0.008614
16,1912.75,0.76059,3.97255,0.32271,0.50406,1.14373,0.96206,0.96624,0.98759,0.845,0.85119,0.76467,0.77556,0.58764,0.66959,2.42467,0.07413,0.37015,1.06365,0.008515,0.008515,0.008515
17,2029.78,0.7572,3.94229,0.31911,0.50217,1.14352,0.96407,0.97104,0.9893,0.85665,0.84993,0.78132,0.79357,0.61348,0.64316,2.3336,0.07487,0.35528,1.04157,0.008416,0.008416,0.008416
18,2149.64,0.75728,3.88971,0.3139,0.49874,1.14199,0.96626,0.96724,0.98904,0.85706,0.85735,0.77597,0.78884,0.61139,0.64422,2.31254,0.06668,0.35132,1.04461,0.008317,0.008317,0.008317
19,2270.55,0.74119,3.83299,0.30914,0.48882,1.13509,0.96488,0.97209,0.98914,0.85958,0.84615,0.78552,0.79238,0.61376,0.63711,2.28127,0.06608,0.347,1.03355,0.008218,0.008218,0.008218
20,2387.56,0.74216,3.80156,0.30674,0.49063,1.13801,0.95763,0.97364,0.98875,0.86085,0.84001,0.78015,0.77195,0.59772,0.62827,2.31578,0.0597,0.34805,1.02672,0.008119,0.008119,0.008119
21,2503.69,0.73725,3.76987,0.30029,0.48552,1.13234,0.97113,0.96852,0.98953,0.86835,0.85181,0.79257,0.80829,0.63947,0.61942,2.20539,0.066,0.33746,1.02103,0.00802,0.00802,0.00802
22,2620.48,0.7335,3.72044,0.29691,0.47808,1.13031,0.9662,0.97272,0.98928,0.86713,0.85248,0.78336,0.79594,0.63026,0.61731,2.20504,0.06122,0.33533,1.01998,0.007921,0.007921,0.007921
23,2742.35,0.71992,3.66093,0.29097,0.47257,1.12173,0.96781,0.97145,0.98952,0.87189,0.85296,0.79177,0.81004,0.64678,0.60361,2.1656,0.05739,0.32778,1.01185,0.007822,0.007822,0.007822
24,2866.33,0.72261,3.65852,0.2912,0.47418,1.12279,0.96429,0.97381,0.98973,0.87124,0.84944,0.80196,0.81068,0.6475,0.59789,2.14152,0.05781,0.32581,1.00568,0.007723,0.007723,0.007723
25,2989.54,0.72458,3.66215,0.28624,0.47389,1.12347,0.97269,0.97145,0.98969,0.87117,0.84924,0.804,0.80821,0.64785,0.60524,2.12063,0.05374,0.32451,1.01033,0.007624,0.007624,0.007624
26,3110.95,0.71862,3.60394,0.28402,0.46716,1.12225,0.96636,0.97378,0.9892,0.87413,0.86302,0.80209,0.82877,0.67042,0.59823,2.07724,0.05524,0.32115,1.00628,0.007525,0.007525,0.007525
27,3231.04,0.71067,3.5471,0.27772,0.46283,1.11797,0.96932,0.97019,0.98981,0.87685,0.85317,0.81037,0.82742,0.67231,0.5921,2.06269,0.05428,0.32185,1.0001,0.007426,0.007426,0.007426
28,3352.1,0.70802,3.54829,0.27897,0.46168,1.11572,0.96353,0.97649,0.98981,0.87661,0.86001,0.80479,0.82515,0.67263,0.59058,2.04967,0.05206,0.31778,0.99983,0.007327,0.007327,0.007327
29,3472.86,0.70559,3.50956,0.2757,0.45711,1.11522,0.96908,0.97426,0.98982,0.87955,0.86374,0.8091,0.83001,0.678,0.58678,2.03518,0.05363,0.31383,0.99768,0.007228,0.007228,0.007228
30,3594.74,0.70308,3.45372,0.27106,0.45423,1.11245,0.96622,0.97719,0.99035,0.88252,0.867,0.80501,0.83154,0.68548,0.58365,2.02573,0.05115,0.31075,0.99345,0.007129,0.007129,0.007129
31,3718.87,0.70328,3.46258,0.27037,0.45521,1.11063,0.96685,0.97566,0.99002,0.88452,0.85994,0.80999,0.83295,0.68884,0.57631,1.99521,0.05052,0.31124,0.98914,0.00703,0.00703,0.00703
32,3841.29,0.70507,3.44864,0.26834,0.45426,1.11291,0.96805,0.97528,0.99004,0.88388,0.85853,0.81284,0.82843,0.68239,0.57794,1.97563,0.04868,0.3085,0.98937,0.006931,0.006931,0.006931
33,3963.49,0.69662,3.39338,0.26401,0.4506,1.10458,0.96627,0.97604,0.99008,0.88277,0.86453,0.81488,0.83552,0.6878,0.57359,1.94963,0.04812,0.30564,0.98592,0.006832,0.006832,0.006832
34,4086.89,0.69072,3.36472,0.2637,0.44579,1.1066,0.96634,0.97696,0.99018,0.88388,0.86576,0.81802,0.83926,0.69319,0.57263,1.9373,0.04928,0.30377,0.98661,0.006733,0.006733,0.006733
35,4208.84,0.68502,3.34696,0.26212,0.44306,1.10277,0.97132,0.97642,0.99046,0.88619,0.86068,0.82082,0.83875,0.6945,0.56556,1.93023,0.0478,0.29961,0.98173,0.006634,0.006634,0.006634
36,4331.23,0.68817,3.34671,0.26036,0.44366,1.10252,0.96906,0.97477,0.9903,0.88907,0.86233,0.82669,0.84443,0.70091,0.56091,1.91124,0.04743,0.29513,0.97949,0.006535,0.006535,0.006535
37,4452,0.68783,3.34791,0.25913,0.4433,1.10316,0.96979,0.97439,0.99022,0.88798,0.86559,0.82154,0.84423,0.70154,0.56244,1.91747,0.04727,0.29575,0.97919,0.006436,0.006436,0.006436
38,4568.78,0.68645,3.32308,0.25833,0.44507,1.10527,0.96761,0.97553,0.99032,0.88985,0.87041,0.81929,0.8469,0.7076,0.56171,1.90747,0.0458,0.29471,0.97829,0.006337,0.006337,0.006337
39,4686.05,0.68254,3.2648,0.25401,0.44064,1.0999,0.96946,0.97604,0.99045,0.89165,0.8695,0.82223,0.84823,0.71032,0.5607,1.8934,0.04546,0.29345,0.97821,0.006238,0.006238,0.006238
40,4802.28,0.67801,3.25395,0.25478,0.43608,1.09968,0.96664,0.97853,0.99045,0.89171,0.8707,0.82469,0.85409,0.71411,0.5587,1.86784,0.04565,0.29206,0.97631,0.006139,0.006139,0.006139
41,4923.25,0.67216,3.22308,0.2535,0.4318,1.09424,0.96917,0.97579,0.99063,0.89229,0.87546,0.82643,0.85539,0.71497,0.55847,1.85762,0.04491,0.2922,0.97614,0.00604,0.00604,0.00604
42,5041.19,0.67645,3.23186,0.2522,0.43336,1.09618,0.9685,0.97668,0.99056,0.89223,0.87273,0.83021,0.8551,0.71531,0.55547,1.84964,0.0444,0.29148,0.97442,0.005941,0.005941,0.005941
43,5157.57,0.6675,3.19261,0.25081,0.42888,1.09284,0.96954,0.97706,0.99068,0.89114,0.87531,0.83374,0.85677,0.71512,0.55433,1.83214,0.04369,0.28904,0.97408,0.005842,0.005842,0.005842
44,5278.76,0.66801,3.16696,0.24742,0.43044,1.09163,0.95883,0.9763,0.98383,0.88331,0.87276,0.83242,0.84934,0.70923,0.55419,1.8169,0.04302,0.28987,0.97487,0.005743,0.005743,0.005743
45,5387.06,0.6648,3.14629,0.24826,0.42624,1.09181,0.93564,0.97637,0.95674,0.85647,0.84976,0.83322,0.82064,0.68519,0.55285,1.8087,0.04293,0.29373,0.97365,0.005644,0.005644,0.005644
46,5495.84,0.66432,3.14645,0.2464,0.42718,1.09132,0.97096,0.97936,0.99082,0.89252,0.87757,0.8349,0.85906,0.72083,0.55121,1.8047,0.04275,0.28486,0.97296,0.005545,0.005545,0.005545
47,5604.06,0.66488,3.12248,0.24547,0.42384,1.09127,0.97096,0.97998,0.99094,0.89305,0.88004,0.83714,0.86196,0.72371,0.54857,1.79338,0.04247,0.28303,0.97143,0.005446,0.005446,0.005446
48,5712.12,0.66416,3.09742,0.24251,0.42368,1.09026,0.97108,0.97986,0.991,0.89398,0.8832,0.83837,0.86705,0.72724,0.54795,1.78477,0.04223,0.2818,0.97143,0.005347,0.005347,0.005347
